TextKey,ko,en,ja,zh-Hans,zh-Hant,Context,Notes,MaxLengthHint
ui.operating_frame.summary,"운용 프레임: {frame}
장착 장비: {count}종","Frame: {frame}
Fitted modules: {count}",,,,Operating Frame,Provisional profile; named placeholders,100
ui.operating_frame.lightweight.tier0,경량 효율 MAX · 0–6종,Maximum mobility · 0–6 modules,,,,Operating Frame,Provisional profile; named placeholders,100
ui.operating_frame.lightweight.tier1,경량 효율 II · 7–12종,Mobility II · 7–12 modules,,,,Operating Frame,Provisional profile; named placeholders,100
ui.operating_frame.lightweight.tier2,경량 효율 I · 13–18종,Mobility I · 13–18 modules,,,,Operating Frame,Provisional profile; named placeholders,100
ui.operating_frame.lightweight.tier3,기동 보너스 없음 · 19종 이상,No mobility bonus · 19+ modules,,,,Operating Frame,Provisional profile; named placeholders,100
ui.operating_frame.heavy.tier0,내구·적재 I · 0–6종,Durability/cargo I · 0–6 modules,,,,Operating Frame,Provisional profile; named placeholders,100
ui.operating_frame.heavy.tier1,내구·적재 II · 7–12종,Durability/cargo II · 7–12 modules,,,,Operating Frame,Provisional profile; named placeholders,100
ui.operating_frame.heavy.tier2,내구·적재 III · 13–18종,Durability/cargo III · 13–18 modules,,,,Operating Frame,Provisional profile; named placeholders,100
ui.operating_frame.heavy.tier3,내구·적재 MAX · 19종 이상,Maximum durability/cargo · 19+ modules,,,,Operating Frame,Provisional profile; named placeholders,100
ui.operating_frame.fixed_at_launch,출격 시 고정 · 탐사 중 변경 불가,Fixed at launch for this expedition,,,,Operating Frame,Provisional profile; named placeholders,100
ui.operating_frame.projection,예상 효과,Projected effects,,,,Operating Frame,Provisional profile; named placeholders,100
ui.operating_frame.bonuses,보너스,Bonuses,,,,Operating Frame,Provisional profile; named placeholders,100
ui.operating_frame.penalties,페널티,Penalties,,,,Operating Frame,Provisional profile; named placeholders,100
ui.operating_frame.free_selection,무료 선택 · 장비 제작과 별개,Free selection · Separate from crafting,,,,Operating Frame,Provisional profile; named placeholders,100
ui.operating_frame.move,이동 속도 {value}%,Movement speed {value}%,,,,Operating Frame,Provisional profile; named placeholders,100
ui.operating_frame.dash_cooldown,대쉬 쿨다운 {value}%,Dash cooldown {value}%,,,,Operating Frame,Provisional profile; named placeholders,100
ui.operating_frame.dash_distance,대쉬 거리 {value},Dash distance {value},,,,Operating Frame,Provisional profile; named placeholders,100
ui.operating_frame.hp,최대 체력 {value},Maximum HP {value},,,,Operating Frame,Provisional profile; named placeholders,100
ui.operating_frame.cargo,적재량 {value},Cargo capacity {value},,,,Operating Frame,Provisional profile; named placeholders,100
ui.operating_frame.damage,공격력 {value}%,Damage {value}%,,,,Operating Frame,Provisional profile; named placeholders,100
ui.operating_frame.harvest,수확량 {value}%,Harvest yield {value}%,,,,Operating Frame,Provisional profile; named placeholders,100
ui.operating_frame.close,닫기,Close,,,,Operating Frame,Provisional profile; named placeholders,100
ui.settlement.equipment.cost_heading,제작 비용,Manufacturing cost,,,,Equipment economy,One-time permanent cost,
ui.settlement.equipment.cost_owned,{cost} · 보유 {owned},{cost} · owned {owned},,,,Equipment economy,Currency icon precedes this row,
system.settlement.equipment.starter_materials,장비 개발용 기초 자재가 지급되었습니다.,Starter manufacturing materials received.,,,,Equipment economy,Only after durable first allowance receipt,
