trait_id,display_name,asset_path,family,rarity,max_level,lv1,lv2,lv3_max,effect_kind,primary_role,purpose,overlapping_equipment,acquisition_eligibility,description,composition_notes,development_branch,development_roster,research_row,blueprint_position,manufacturing_scrap,manufacturing_core,recipe_basis,deployment
sn_stealth_scan,침투 프로토콜,Assets/02_Scripts/Config/TraitDefinition/Sniper/40_sn_stealth_scan.asset,Lancer / Sniper,Special,3,RadarStealthDurationBonus 1,RadarStealthDurationBonus 1,RadarStealthDurationBonus 1,Mechanical + numeric,Tactical,Staged radar cloak and visual infiltration,shared_radar_amplifier,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,레이더 은폐와 전술 정보를 얻는다. 강화로 시야 표시와 시각 탐지 지연이 열린다.,Existing controller milestones: Lv1 cloak/awareness; Lv2 vision cones; Lv3 slower visual detection (1.35 multiplier). Duration increments remain +1s each.,Lancer,yes,2,1,30,2,provisional integration recipe,"Lv1 when researched, manufactured, fitted and compatible"
sn_semi_auto_laser,레이저 반복기,Assets/02_Scripts/Config/TraitDefinition/Sniper/44_sn_semi_auto_laser.asset,Lancer / Sniper,Special,3,SniperSemiAutoMode 1,FireRatePercent 6,FireRatePercent 9,Mechanical + numeric,Signature,Tap-fire alternative to charging,sn_charge_accelerator,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,짧은 클릭으로 레이저를 발사한다. 이후 강화는 연속 사격을 빠르게 한다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Lancer,yes,3,1,40,3,provisional integration recipe,"Lv1 when researched, manufactured, fitted and compatible"
mg_terminal_guidance,종말 유도,Assets/02_Scripts/Config/TraitDefinition/MachineGun/47_mg_terminal_guidance.asset,Sweeper / MachineGun,Special,3,MachineGunTerminalGuidance 1,HomingAngleBonus 6; HomingRangeBonus 0.5,HomingAngleBonus 10; HomingRangeBonus 0.75,Mechanical + numeric,Signature,Prerequisite-gated terminal tracking,mg_guidance_control,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,유도 제어를 완성한 뒤 종말 추적을 활성화하고 유도 성능을 더 높인다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Sweeper,yes,3,1,60,5,provisional integration recipe,conditional: acquire after Guidance Lv3
shared_periodic_reflector,반사 방벽,Assets/02_Scripts/Config/TraitDefinition/Common/48_shared_periodic_reflector.asset,Shared,Special,3,PeriodicReflectiveShield 20,PeriodicReflectiveShield 17,PeriodicReflectiveShield 14,Mechanical + numeric,Signature,Reactive bullet reflection window,shared_reinforced_plating,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,적 탄환을 만나면 짧게 반사한다. 강화할수록 재충전이 빨라진다.,Recharge is replaced on the same source: 20 -> 17 -> 14 seconds; never summed.,Shared,yes,3,3,60,5,provisional integration recipe,"Lv1 when researched, manufactured, fitted and compatible"
mg_dash_missile_salvo,추격 미사일 사출,Assets/02_Scripts/Config/TraitDefinition/MachineGun/49_mg_dash_missile_salvo.asset,Sweeper / MachineGun,Special,3,MachineGunDashMissileSalvo 1,DamagePercent 4,DamagePercent 6,Mechanical + numeric,Signature,Dash-triggered guided salvo,mg_midrange_pressure,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,대쉬 때 추격 미사일을 발사한다. 이후 강화는 미사일과 주포 피해를 높인다.,Damage increments affect both guided missiles and the primary weapon; missile count remains 3.,Sweeper,yes,3,2,50,4,provisional integration recipe,"Lv1 when researched, manufactured, fitted and compatible"
sn_dash_echo_shot,위상 잔상 사격,Assets/02_Scripts/Config/TraitDefinition/Sniper/50_sn_dash_echo_shot.asset,Lancer / Sniper,Special,3,SniperDashEchoShot 1,ChargeDamagePercent 5,ChargeDamagePercent 8,Mechanical + numeric,Signature,Dash-position follow-up shot,sn_high_output_core,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,대쉬 위치에서 다음 저격을 복제한다. 이후 강화는 차징 원본과 복제 사격을 보강한다.,Charge damage strengthens the charged original and its 40% echo; no extra echo is spawned per level.,Lancer,yes,3,2,50,4,provisional integration recipe,"Lv1 when researched, manufactured, fitted and compatible"
mg_traverse_servo,횡행 서보,Assets/02_Scripts/Config/TraitDefinition/MachineGun/51_mg_traverse_servo.asset,Sweeper,Common,3,MoveSpeedPercent 3,ProjectileSpeedPercent 8,MoveSpeedPercent 4; ProjectileSpeedPercent 10,Numeric,Mobility,Sidestep while keeping rapid rounds easy to place.,Medium: engine_tuning and projectile-speed legacy items; benefits are modest and paired.,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,이동과 탄도 응답을 보조해 사격 위치를 바꾸기 쉽게 합니다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Sweeper,yes,0,1,10,0,provisional tier formula; not final economy,"Lv1 when researched, manufactured, fitted and compatible"
mg_heat_exchanger,열교환 급탄기,Assets/02_Scripts/Config/TraitDefinition/MachineGun/52_mg_heat_exchanger.asset,Sweeper,Rare,3,MachineGunCoolingRatePercent 20,MachineGunCoolingDelayReduction 0.05,MachineGunCoolingRatePercent 30; MachineGunCoolingDelayReduction 0.05,Mechanic,Control,Use short firing pauses to recover sustained pressure.,Avoid turning Max into infinite firing or immunity to overheat.,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,방아쇠를 놓은 틈에 열을 빠르게 배출해 다음 교전에 대비합니다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Sweeper,yes,2,1,40,3,provisional tier formula; not final economy,"Lv1 when researched, manufactured, fitted and compatible"
mg_line_penetrator,관통 급탄기,Assets/02_Scripts/Config/TraitDefinition/MachineGun/53_mg_line_penetrator.asset,Sweeper,Rare,3,PierceCountBonus 1,ProjectileSpeedPercent 10,ProjectileSpeedPercent 12; RangePercent 5,Numeric,Control,Pressure aligned targets through the first contact.,Lancer retains deeper pierce/falloff removal; no falloff-removal effect here.,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,일렬로 겹친 적을 관통하며 사격선을 유지합니다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Sweeper,yes,2,2,40,3,provisional tier formula; not final economy,"Lv1 when researched, manufactured, fitted and compatible"
mg_target_distributor,표적 분배기,Assets/02_Scripts/Config/TraitDefinition/MachineGun/54_mg_target_distributor.asset,Sweeper,Special,3,MachineGunTargetDistribution 1,MachineGunTargetDistribution 1,MachineGunTargetDistribution 1,Mechanic,Control,Spread manually aimed fire across a small enemy cluster.,High: aim assistance and homing overlap; tightly bound to the player aim cone and line of sight.,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,조준선 근처의 적으로 사격을 분산합니다. 최근 표적은 잠시 제외합니다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Sweeper,yes,2,3,50,4,provisional tier formula; not final economy,"Lv1 when researched, manufactured, fitted and compatible"
mg_twin_feed,병렬 급탄기,Assets/02_Scripts/Config/TraitDefinition/MachineGun/55_mg_twin_feed.asset,Sweeper,Special,3,MachineGunTwinFeed 1,MachineGunTwinFeed 1,MachineGunTwinFeed 1,Mechanic,Signature,Sustained fire develops a periodic rapid paired-feed rhythm.,Heat and output tuning risk; does not use an always-on projectile-count bonus.,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,연속 사격 중 급탄을 안정시킵니다. 최대 단계에서는 주기적으로 빠른 후속탄을 발사합니다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Sweeper,yes,3,3,60,5,provisional tier formula; not final economy,"Lv1 when researched, manufactured, fitted and compatible"
sg_cycle_actuator,순환 구동기,Assets/02_Scripts/Config/TraitDefinition/Shotgun/56_sg_cycle_actuator.asset,Breacher,Common,3,FireRatePercent 5,FireRatePercent 7,FireRatePercent 10,Numeric,Offense,Recover between deliberate shotgun blasts sooner.,"Medium: breach_sequencer is a dash-gated single opportunity, not permanent cadence.",Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,다음 산탄 사격을 빠르게 준비해 짧은 교전 틈을 줄입니다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Breacher,yes,1,3,20,1,provisional tier formula; not final economy,"Lv1 when researched, manufactured, fitted and compatible"
sg_pellet_penetrator,관통 산탄,Assets/02_Scripts/Config/TraitDefinition/Shotgun/57_sg_pellet_penetrator.asset,Breacher,Rare,3,PierceCountBonus 1,ProjectileSpeedPercent 8,ProjectileSpeedPercent 12,Numeric,Control,Push a cone of pellets through a shallow crowd.,Medium: MG lane penetration and Lancer deep pierce are different weapon geometries; limit pellet proliferation.,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,산탄이 전열을 관통해 뒤의 적까지 압박합니다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Breacher,yes,2,1,40,3,provisional tier formula; not final economy,"Lv1 when researched, manufactured, fitted and compatible"
sg_impact_ejector,충격 배출기,Assets/02_Scripts/Config/TraitDefinition/Shotgun/58_sg_impact_ejector.asset,Breacher,Rare,3,ShotgunImpactDisplacement 0.35,ShotgunImpactDisplacement 0.2,ShotgunImpactDisplacement 0.25,Mechanic,Control,A well-placed central pellet opens a small gap.,Medium: existing dash pushes nearby targets; this is a precise shot result and can push targets out of Overpressure range.,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,중앙 탄의 첫 유효 명중으로 밀어낼 수 있는 적을 짧게 밀어냅니다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Breacher,yes,2,2,40,3,provisional tier formula; not final economy,"Lv1 when researched, manufactured, fitted and compatible"
sg_breach_compensator,돌입 보정기,Assets/02_Scripts/Config/TraitDefinition/Shotgun/59_sg_breach_compensator.asset,Breacher,Rare,3,DashDamageReductionPercent 10,DashDamageReductionPercent 5,DashDamageReductionPercent 5,Mechanic,Survival,Remain less exposed just after a committed dash ends.,Shared plating is capacity; this is a conditional damage rule. Existing dash invulnerability is not extended.,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,산탄총 대쉬 직후 잠시 피격을 완화해 돌입을 보조합니다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Breacher,yes,2,3,40,3,provisional tier formula; not final economy,"Lv1 when researched, manufactured, fitted and compatible"
sg_slug_coupler,단일탄 결합기,Assets/02_Scripts/Config/TraitDefinition/Shotgun/60_sg_slug_coupler.asset,Breacher,Special,3,ShotgunSlugCoupler 1,ShotgunSlugCoupler 1,ShotgunSlugCoupler 1,Mechanic,Signature,Put a readable penetrating center into the shotgun pattern.,High: do not replace Lancer long-range charge identity or multiply the already combined damage twice.,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,산탄 두 발을 중앙 단일탄으로 결합합니다. 남은 산탄은 그대로 발사합니다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Breacher,yes,3,2,60,5,provisional tier formula; not final economy,"Lv1 when researched, manufactured, fitted and compatible"
sg_breach_sequencer,돌입 시퀀서,Assets/02_Scripts/Config/TraitDefinition/Shotgun/61_sg_breach_sequencer.asset,Breacher,Special,3,ShotgunBreachSequence 1,ShotgunBreachSequence 1,ShotgunBreachSequence 1,Mechanic,Signature,Use a dash to set up a deliberate two-blast breach.,Medium-high cadence overlap: strong but conditional; no unlimited zero-interval loop.,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,대쉬 후 첫 사격의 회복을 줄여 다음 사격을 빠르게 이어갑니다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Breacher,yes,3,3,60,5,provisional tier formula; not final economy,"Lv1 when researched, manufactured, fitted and compatible"
sn_ballistic_alignment,탄도 정렬기,Assets/02_Scripts/Config/TraitDefinition/Sniper/62_sn_ballistic_alignment.asset,Lancer,Common,3,ProjectileSpeedPercent 8,RangePercent 8,ProjectileSpeedPercent 10; RangePercent 10,Numeric,Control,"Place deliberate shots along longer, faster lanes.","Medium: identical primitives to legacy Shared longshot_stabilizer; retained legacy is an alternate, not deleted.",Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,탄속과 사거리를 보완해 먼 사격선을 다루기 쉽게 합니다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Lancer,yes,0,3,10,0,provisional tier formula; not final economy,"Lv1 when researched, manufactured, fitted and compatible"
sn_mobile_charge_coupler,기동 차징기,Assets/02_Scripts/Config/TraitDefinition/Sniper/63_sn_mobile_charge_coupler.asset,Lancer,Rare,3,SniperMovingChargeBonus 10,SniperMovingChargeBonus 10,SniperMovingChargeBonus 20,Mechanic,Mobility,Reposition while building the next deliberate shot.,No new ability to move while charging: the current weapon already allows it.,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,이동 중 차징 손실을 줄여 재배치하면서 사격을 준비합니다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Lancer,yes,1,3,30,2,provisional tier formula; not final economy,"Lv1 when researched, manufactured, fitted and compatible"
sn_charge_aperture,차징 확장기,Assets/02_Scripts/Config/TraitDefinition/Sniper/64_sn_charge_aperture.asset,Lancer,Rare,3,ChargedProjectileSizePercent 15,ChargedProjectileSizePercent 10,ChargedProjectileSizePercent 15,Mechanic,Control,Make a charged lane more forgiving without multiplying shots.,"High readability/collision risk: no damage/range bonus, wall bypass, splash or enlarged enemy hitboxes.",Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,차징할수록 탄의 폭을 넓혀 정밀 사격의 명중 여유를 확보합니다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Lancer,yes,2,2,40,3,provisional tier formula; not final economy,"Lv1 when researched, manufactured, fitted and compatible"
sn_anchor_optics,정위 조준경,Assets/02_Scripts/Config/TraitDefinition/Sniper/65_sn_anchor_optics.asset,Lancer,Rare,3,ChargeSightBonusPercent 10,ChargeSightBonusPercent 10,ChargeSightBonusPercent 15,Mechanic,Tactical,See farther along the aim direction when setting up a stationary charge.,Medium: Focus Lens is radar coverage/damage; this affects only the existing charging camera assist.,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,차징 중 조준 방향의 카메라 시야를 확장합니다. 탐지 범위는 바뀌지 않습니다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Lancer,yes,2,3,40,3,provisional tier formula; not final economy,"Lv1 when researched, manufactured, fitted and compatible"
sn_reserve_capacitor,잔류 축전기,Assets/02_Scripts/Config/TraitDefinition/Sniper/66_sn_reserve_capacitor.asset,Lancer,Special,3,SniperReserveCapacitor 10,SniperReserveCapacitor 5,SniperReserveCapacitor 10,Mechanic,Signature,A fully charged shot leaves a limited head start for one follow-up.,High: can compound with charge speed; bound below full charge and never re-arm from the assisted follow-up.,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,완충 사격 후 잠시 다음 차징의 일부를 보존합니다. 보조받은 사격은 예비량을 다시 만들지 않습니다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Lancer,yes,3,3,60,5,provisional tier formula; not final economy,"Lv1 when researched, manufactured, fitted and compatible"
